instances\test_1.txt,[40, 3]
instances\test_10.txt,[19, 1]
instances\test_11.txt,[35, 0]
instances\test_12.txt,[42, 9]
instances\test_13.txt,[37, 2]
instances\test_14.txt,[24, 1]
instances\test_15.txt,[49, 2]
instances\test_16.txt,[47, 1]
instances\test_17.txt,[39, 0]
instances\test_18.txt,[30, 1]
instances\test_19.txt,[49, 0]
instances\test_2.txt,[18, 0]
instances\test_20.txt,[28, 0]
instances\test_21.txt,[46, 3]
instances\test_22.txt,[57, 12]
instances\test_23.txt,[32, 1]
instances\test_24.txt,[47, 4]
instances\test_25.txt,[38, 1]
instances\test_26.txt,[46, 298]
instances\test_27.txt,[39, 3]
instances\test_28.txt,[39, 1]
instances\test_29.txt,[50, 3]
instances\test_3.txt,[28, 0]
instances\test_30.txt,[46, 8]
instances\test_31.txt,[39, 454]
instances\test_32.txt,[28, 0]
instances\test_33.txt,[27, 1]
instances\test_34.txt,[41, 13]
instances\test_35.txt,[30, 0]
instances\test_36.txt,[23, 1]
instances\test_37.txt,[41, 2]
instances\test_38.txt,[28, 0]
instances\test_39.txt,[35, 1]
instances\test_4.txt,[32, 1]
instances\test_40.txt,[24, 0]
instances\test_41.txt,[48, 17]
instances\test_42.txt,[59, 446]
instances\test_43.txt,[41, 0]
instances\test_44.txt,[32, 4]
instances\test_45.txt,[24, 0]
instances\test_46.txt,[56, 2]
instances\test_47.txt,[67, 12]
instances\test_48.txt,[36, 3]
instances\test_49.txt,[48, 10]
instances\test_5.txt,[27, 1]
instances\test_50.txt,[43, 0]
instances\test_6.txt,[26, 0]
instances\test_7.txt,[34, 0]
instances\test_8.txt,[35, 3]
instances\test_9.txt,[24, 0]
